year,country,region,district,program_category,budget_amount,currency,grb_marker,gender_target,income_target,disability_target,source_file
2023,Rwanda,Eastern,Bugesera,Health,2602419.6282540597,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Bugesera,GBV_response,2551681.645117428,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Bugesera,Economic_support,3137751.6012374223,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Bugesera,Economic_support,1402664.3665007143,RWF,True,Women,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Bugesera,Governance_participation,3396905.9932103786,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Bugesera,Governance_participation,660781.003806333,RWF,True,Women,Middle,With disability,sample_budget_2023.xlsx
2024,Rwanda,Eastern,Bugesera,Education,1517682.9151371233,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,Health,2242404.7481018654,RWF,True,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,Health,717044.3104423783,RWF,True,Both,Low,With disability,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,GBV_response,2187736.736841427,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,GBV_response,856180.6099457178,RWF,True,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,Economic_support,1195612.8570797406,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,Economic_support,558242.9107720001,RWF,True,Women,Low,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,Governance_participation,1326734.4593220083,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Bugesera,Governance_participation,664562.6152664595,RWF,True,Women,Low,With disability,sample_budget_2024.xlsx
2020,Rwanda,Eastern,Kayonza,Education,1007514.6021063445,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Kayonza,Education,251060.5187843245,RWF,True,Women,Low,With disability,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Kayonza,Health,1581961.2900543686,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Kayonza,GBV_response,1621717.4411160895,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Kayonza,Economic_support,932191.5427909315,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Kayonza,Economic_support,497269.45537066786,RWF,True,Women,Low,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Kayonza,Governance_participation,1668618.9511674233,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Kayonza,Governance_participation,581872.9120339899,RWF,True,Women,Low,All,sample_budget_2020.xlsx
2021,Rwanda,Eastern,Kayonza,Education,3296927.891721576,RWF,True,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Kayonza,Education,1436241.3147942137,RWF,True,Women,Low,No disability,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Kayonza,Health,2218492.47430771,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Kayonza,GBV_response,1489933.0983048524,RWF,True,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Kayonza,Economic_support,2720146.921695922,RWF,True,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Kayonza,Economic_support,684181.3038313759,RWF,True,Women,Low,No disability,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Kayonza,Governance_participation,2791372.757258413,RWF,False,Both,All,All,sample_budget_2021.xlsx
2022,Rwanda,Eastern,Kayonza,Education,3267351.445913467,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,Education,1068309.0142558936,RWF,True,Women,All,With disability,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,Health,1958638.2968956786,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,Health,796493.3180904583,RWF,True,Women,Low,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,GBV_response,1721090.0243920833,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,GBV_response,360004.03506470524,RWF,True,Women,Low,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,Economic_support,2353087.1869848827,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,Economic_support,772310.7913158103,RWF,True,Women,Low,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,Governance_participation,1870974.014045751,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Kayonza,Governance_participation,701445.2995366572,RWF,True,Women,Low,With disability,sample_budget_2022.xlsx
2023,Rwanda,Eastern,Kayonza,Education,2184868.808610016,RWF,True,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Kayonza,Health,2359799.6603445574,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Kayonza,GBV_response,1140369.5832999893,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Kayonza,GBV_response,680775.3604711744,RWF,True,Both,Low,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Kayonza,Economic_support,1295851.433638742,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Eastern,Kayonza,Governance_participation,947310.2728818225,RWF,False,Both,All,All,sample_budget_2023.xlsx
2024,Rwanda,Eastern,Kayonza,Education,1402414.6087155712,RWF,True,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Kayonza,Health,2116056.550005711,RWF,True,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Kayonza,GBV_response,2089873.4153121097,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Kayonza,Economic_support,1984941.2612417997,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Kayonza,Economic_support,677625.4569889895,RWF,True,Women,Low,With disability,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Kayonza,Governance_participation,1971794.6492752384,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Eastern,Kayonza,Governance_participation,732215.4710022853,RWF,True,Women,Low,All,sample_budget_2024.xlsx
2020,Rwanda,Western,Musanze,Education,975886.2350369355,RWF,True,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Musanze,Health,1153225.2798345727,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Musanze,GBV_response,1130970.445882306,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Musanze,Economic_support,841670.8386538307,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Musanze,Economic_support,463540.3693126247,RWF,True,Women,All,With disability,sample_budget_2020.xlsx
2020,Rwanda,Western,Musanze,Governance_participation,1704404.4641682839,RWF,False,Both,All,All,sample_budget_2020.xlsx
2021,Rwanda,Western,Musanze,Education,2179781.591610933,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Musanze,Health,2843072.506159543,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Musanze,Health,759560.8443565571,RWF,True,Women,Low,With disability,sample_budget_2021.xlsx
2021,Rwanda,Western,Musanze,GBV_response,3232791.351659783,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Musanze,GBV_response,661731.6906487469,RWF,True,Both,Middle,With disability,sample_budget_2021.xlsx
2021,Rwanda,Western,Musanze,Economic_support,3425257.91264067,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Musanze,Economic_support,722130.0776333815,RWF,True,Both,All,With disability,sample_budget_2021.xlsx
2021,Rwanda,Western,Musanze,Governance_participation,2694238.8839638326,RWF,True,Both,All,All,sample_budget_2021.xlsx
2022,Rwanda,Western,Musanze,Education,2920800.8834841126,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,Education,706457.9172491502,RWF,True,Women,Middle,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,Health,2392575.0853847847,RWF,True,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,Health,685817.0789259326,RWF,True,Women,Middle,With disability,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,GBV_response,2233527.9066859535,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,GBV_response,757374.3109595033,RWF,True,Women,Low,With disability,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,Economic_support,1436549.058586808,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,Economic_support,473121.13113908644,RWF,True,Both,Low,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,Governance_participation,1301528.199895134,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Musanze,Governance_participation,286098.7818444993,RWF,True,Women,All,All,sample_budget_2022.xlsx
2023,Rwanda,Western,Musanze,Education,3427874.390698325,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,Education,713784.0291528793,RWF,True,Women,Middle,No disability,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,Health,2320024.8529727324,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,GBV_response,3224614.819814006,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,GBV_response,531807.1371899088,RWF,True,Both,Middle,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,Economic_support,1694157.6521875346,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,Economic_support,372847.4068595658,RWF,True,Women,Middle,With disability,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,Governance_participation,1529551.8499417193,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Musanze,Governance_participation,358413.0417080875,RWF,True,Women,All,All,sample_budget_2023.xlsx
2024,Rwanda,Western,Musanze,Education,1540745.0877497487,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,Education,646654.9304937288,RWF,True,Women,Middle,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,Health,2338260.444594516,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,Health,893036.983848508,RWF,True,Women,Low,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,GBV_response,2426896.411382201,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,Economic_support,2447599.229753688,RWF,True,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,Economic_support,804572.7234578872,RWF,True,Women,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,Governance_participation,1424248.0187284881,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Musanze,Governance_participation,673396.1778435397,RWF,True,Both,Low,With disability,sample_budget_2024.xlsx
2020,Rwanda,Western,Rubavu,Education,1795093.5982844583,RWF,True,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Rubavu,Education,350541.6415953084,RWF,True,Women,Middle,With disability,sample_budget_2020.xlsx
2020,Rwanda,Western,Rubavu,Health,1785847.6275439023,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Rubavu,GBV_response,2579182.4943466187,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Rubavu,Economic_support,1652284.422858017,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Rubavu,Governance_participation,1407804.2162632847,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Western,Rubavu,Governance_participation,708246.0356886766,RWF,True,Women,All,All,sample_budget_2020.xlsx
2021,Rwanda,Western,Rubavu,Education,3280678.8774608714,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,Education,988931.4631276325,RWF,True,Both,Low,With disability,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,Health,1270837.7997884168,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,Health,341819.2140193819,RWF,True,Both,Middle,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,GBV_response,2115424.448882461,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,GBV_response,1187569.0110497677,RWF,True,Both,Low,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,Economic_support,2415879.6289738324,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,Governance_participation,2237645.9430774893,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Western,Rubavu,Governance_participation,729428.5374746287,RWF,True,Women,Low,All,sample_budget_2021.xlsx
2022,Rwanda,Western,Rubavu,Education,1662316.3545824662,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Rubavu,Education,416670.12721318536,RWF,True,Women,Low,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Rubavu,Health,1623483.1671953823,RWF,True,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Rubavu,Health,551481.2344365919,RWF,True,Women,Low,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Rubavu,GBV_response,940135.456672488,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Rubavu,Economic_support,1722571.3663704079,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Rubavu,Governance_participation,1483439.2778058767,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Western,Rubavu,Governance_participation,618678.7844776791,RWF,True,Both,Low,With disability,sample_budget_2022.xlsx
2023,Rwanda,Western,Rubavu,Education,3629028.702568596,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,Health,1647776.3665638121,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,Health,688978.8377089842,RWF,True,Women,Middle,With disability,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,GBV_response,2846205.976252717,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,GBV_response,1061792.5173283818,RWF,True,Women,Middle,With disability,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,Economic_support,3055029.559786337,RWF,True,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,Economic_support,1047788.126758844,RWF,True,Women,Low,With disability,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,Governance_participation,2039519.6558777965,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Western,Rubavu,Governance_participation,817561.3882705921,RWF,True,Women,Low,No disability,sample_budget_2023.xlsx
2024,Rwanda,Western,Rubavu,Education,3941289.370894499,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Rubavu,Health,3883259.8830278763,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Rubavu,Health,1698632.793377963,RWF,True,Women,Low,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Rubavu,GBV_response,2259242.1993840127,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Rubavu,GBV_response,703100.7917950547,RWF,True,Women,Low,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Rubavu,Economic_support,2467441.5515039326,RWF,True,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Western,Rubavu,Governance_participation,1953910.054633464,RWF,False,Both,All,All,sample_budget_2024.xlsx
2020,Rwanda,Kigali,Gasabo,Education,1015778.3451795145,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,Education,365667.2938717906,RWF,True,Women,Low,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,Health,2246071.757644779,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,Health,854173.4653451516,RWF,True,Women,Low,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,GBV_response,1675323.3019327994,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,GBV_response,498782.11853283556,RWF,True,Women,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,Economic_support,1457546.764604302,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,Governance_participation,2168277.853178845,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Gasabo,Governance_participation,747075.5254036527,RWF,True,Women,All,All,sample_budget_2020.xlsx
2021,Rwanda,Kigali,Gasabo,Education,1908077.111772899,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,Education,525239.8619051552,RWF,True,Women,Middle,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,Health,2087968.8927728625,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,Health,1018126.2152447175,RWF,True,Both,All,With disability,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,GBV_response,1736714.3867768582,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,Economic_support,1617118.6170378146,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,Economic_support,302303.7915244905,RWF,True,Women,Middle,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,Governance_participation,1694173.2508611495,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Gasabo,Governance_participation,267181.2043289904,RWF,True,Both,Low,All,sample_budget_2021.xlsx
2022,Rwanda,Kigali,Gasabo,Education,3396912.363107559,RWF,True,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Gasabo,Health,3304387.532762899,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Gasabo,Health,738616.0152417676,RWF,True,Women,Middle,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Gasabo,GBV_response,2936873.3467847407,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Gasabo,GBV_response,706275.7456814592,RWF,True,Women,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Gasabo,Economic_support,4376139.29963598,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Gasabo,Governance_participation,2452850.822726117,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Gasabo,Governance_participation,712207.3225364413,RWF,True,Women,Low,All,sample_budget_2022.xlsx
2023,Rwanda,Kigali,Gasabo,Education,2773371.6289557847,RWF,True,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,Education,537111.6969794086,RWF,True,Women,Middle,All,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,Health,1185499.9791526839,RWF,True,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,Health,304628.4134780148,RWF,True,Women,Low,No disability,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,GBV_response,1722736.6938326962,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,GBV_response,453751.90595486807,RWF,True,Both,Low,With disability,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,Economic_support,2596269.5987555464,RWF,False,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,Economic_support,842365.8449313005,RWF,True,Women,Low,All,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,Governance_participation,1528038.0236128562,RWF,True,Both,All,All,sample_budget_2023.xlsx
2023,Rwanda,Kigali,Gasabo,Governance_participation,376311.9152071753,RWF,True,Both,Low,With disability,sample_budget_2023.xlsx
2024,Rwanda,Kigali,Gasabo,Education,1742034.4346158134,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,Health,2076921.1705335516,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,Health,541599.9513898011,RWF,True,Women,Low,All,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,GBV_response,2443723.741032992,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,GBV_response,395411.353123001,RWF,True,Both,Middle,All,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,Economic_support,2194881.687021372,RWF,True,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,Economic_support,894201.9402568693,RWF,True,Women,All,With disability,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,Governance_participation,1234681.2362713756,RWF,False,Both,All,All,sample_budget_2024.xlsx
2024,Rwanda,Kigali,Gasabo,Governance_participation,667452.7652692528,RWF,True,Women,Middle,All,sample_budget_2024.xlsx
2020,Rwanda,Kigali,Kicukiro,Education,2493791.110642898,RWF,True,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Kicukiro,Education,680067.4178836262,RWF,True,Women,Middle,With disability,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Kicukiro,Health,2646379.9457389503,RWF,True,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Kicukiro,Health,1052608.4894464035,RWF,True,Women,Middle,With disability,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Kicukiro,GBV_response,1953884.1167911326,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Kicukiro,Economic_support,2608138.4983951044,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Kicukiro,Economic_support,1254989.5781746975,RWF,True,Women,All,No disability,sample_budget_2020.xlsx
2020,Rwanda,Kigali,Kicukiro,Governance_participation,4388320.427270016,RWF,False,Both,All,All,sample_budget_2020.xlsx
2021,Rwanda,Kigali,Kicukiro,Education,2067034.72987632,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Kicukiro,Health,1330441.552509338,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Kicukiro,Health,600280.808905119,RWF,True,Women,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Kicukiro,GBV_response,1551208.3999622213,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Kicukiro,GBV_response,497426.20989246416,RWF,True,Both,Low,With disability,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Kicukiro,Economic_support,2885135.5765864328,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Kicukiro,Governance_participation,1789193.9204176534,RWF,True,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Kigali,Kicukiro,Governance_participation,770305.4641160804,RWF,True,Women,Middle,With disability,sample_budget_2021.xlsx
2022,Rwanda,Kigali,Kicukiro,Education,1820351.342708777,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Kicukiro,Education,965689.1108710979,RWF,True,Women,Low,With disability,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Kicukiro,Health,1177246.6670677639,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Kicukiro,GBV_response,2301863.2579146377,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Kicukiro,Economic_support,1932094.9791115865,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Kicukiro,Economic_support,654818.8933496145,RWF,True,Both,Low,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Kicukiro,Governance_participation,2039308.815317294,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Kigali,Kicukiro,Governance_participation,795599.2567993413,RWF,True,Women,Middle,With disability,sample_budget_2022.xlsx
2023,Rwanda,Kigali,Kicukiro,Education,1740944.6712875809,RWF,False,Both,All,All,sample_budget_2023.xlsx
